,Region,Jun_1999,Sep_1999,Dec_1999,Mar_2000,Jun_2000,Sep_2000,Dec_2000,Mar_2001,Jun_2001,Sep_2001,Dec_2001,Mar_2002,Jun_2002,Sep_2002,Dec_2002,Mar_2003,Jun_2003,Sep_2003,Dec_2003,Mar_2004,Jun_2004,Sep_2004,Dec_2004,Mar_2005,Jun_2005,Sep_2005,Dec_2005,Mar_2006,Jun_2006,Sep_2006,Dec_2006,Mar_2007,Jun_2007,Sep_2007,Dec_2007,Mar_2008,Jun_2008,Sep_2008,Dec_2008,Mar_2009,Jun_2009,Sep_2009,Dec_2009,Mar_2010,Jun_2010,Sep_2010,Dec_2010,Mar_2011,Jun_2011,Sep_2011,Dec_2011,Mar_2012,Jun_2012,Sep_2012,Dec_2012,Mar_2013,Jun_2013,Sep_2013,Dec_2013,Mar_2014,Jun_2014,Sep_2014,Dec_2014,Mar_2015,Jun_2015,Sep_2015,Dec_2015,Mar_2016,Jun_2016,Sep_2016,Dec_2016,Mar_2017,Jun_2017,Sep_2017,Dec_2017,Mar_2018,Jun_2018,Sep_2018,Dec_2018,Mar_2019,Jun_2019,Sep_2019,Dec_2019,Mar_2020,Jun_2020,Sep_2020,Dec_2020,Mar_2021,Jun_2021,Sep_2021,Dec_2021,Mar_2022,Jun_2022,Sep_2022,Dec_2022,Mar_2023,Jun_2023,Sep_2023,Dec_2023,Mar_2024,Jun_2024,Sep_2024,Dec_2024,Mar_2025,Jun_2025
0,Colac-Otway,68.0,75.0,80.0,78.0,75.0,80.0,83.0,85.0,88.0,85.0,95.0,95.0,,95.0,100.0,115.0,118.0,105.0,115.0,110.0,108.0,110.0,105.0,115.0,115.0,115.0,125.0,115.0,130.0,130.0,,133.0,138.0,135.0,140.0,145.0,145.0,148.0,150.0,130.0,150.0,150.0,165.0,150.0,160.0,153.0,150.0,168.0,165.0,165.0,150.0,170.0,165.0,170.0,185.0,160.0,185.0,150.0,180.0,165.0,175.0,190.0,190.0,190.0,168.0,165.0,180.0,180.0,178.0,195.0,195.0,195.0,195.0,190.0,200.0,190.0,205.0,205.0,,205.0,,210.0,215.0,253.0,230.0,,223.0,230.0,230.0,230.0,,255.0,265.0,,265.0,265.0,260.0,,,,300.0,290.0,,,254.0
1,Corangamite,,60.0,,,,55.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,135.0,,,,,,100.0,,,180.0,,,,,,,,120.0,,,,,123.0,,,,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Glenelg,65.0,,70.0,80.0,72.0,70.0,75.0,85.0,83.0,85.0,83.0,88.0,85.0,90.0,88.0,95.0,90.0,95.0,100.0,90.0,,,110.0,100.0,100.0,100.0,90.0,100.0,,105.0,,,115.0,110.0,120.0,195.0,130.0,123.0,145.0,150.0,128.0,,125.0,120.0,125.0,125.0,,150.0,120.0,140.0,125.0,140.0,150.0,130.0,140.0,150.0,,138.0,145.0,,150.0,,170.0,178.0,135.0,148.0,155.0,135.0,,148.0,150.0,160.0,150.0,160.0,160.0,160.0,148.0,150.0,153.0,,173.0,,170.0,170.0,200.0,,180.0,,235.0,190.0,180.0,235.0,260.0,250.0,,,,,,260.0,235.0,250.0,,340.0,
3,Greater Geelong,80.0,80.0,80.0,85.0,85.0,85.0,85.0,90.0,90.0,90.0,90.0,90.0,90.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0,100.0,110.0,105.0,105.0,105.0,105.0,110.0,110.0,115.0,115.0,120.0,120.0,125.0,125.0,135.0,130.0,140.0,145.0,145.0,150.0,150.0,150.0,160.0,165.0,160.0,170.0,180.0,173.0,180.0,185.0,185.0,188.0,190.0,195.0,190.0,200.0,190.0,200.0,200.0,210.0,200.0,200.0,210.0,195.0,210.0,210.0,210.0,210.0,210.0,210.0,215.0,210.0,215.0,215.0,225.0,210.0,225.0,220.0,230.0,225.0,238.0,240.0,260.0,252.0,250.0,250.0,265.0,250.0,260.0,265.0,280.0,290.0,290.0,295.0,300.0,310.0,310.0,320.0,320.0,330.0,325.0,330.0,340.0,350.0
4,Moyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Queenscliffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Southern Grampians,65.0,68.0,70.0,68.0,70.0,75.0,75.0,75.0,75.0,75.0,68.0,80.0,75.0,75.0,75.0,80.0,80.0,85.0,80.0,88.0,90.0,90.0,,95.0,90.0,100.0,92.0,130.0,123.0,98.0,100.0,100.0,115.0,95.0,103.0,113.0,108.0,113.0,100.0,120.0,108.0,120.0,103.0,120.0,120.0,105.0,120.0,110.0,130.0,150.0,125.0,120.0,150.0,150.0,130.0,150.0,135.0,130.0,145.0,120.0,,140.0,,130.0,,140.0,137.0,130.0,145.0,130.0,150.0,140.0,150.0,150.0,135.0,150.0,150.0,140.0,160.0,158.0,,160.0,150.0,,,150.0,180.0,,190.0,210.0,,,180.0,220.0,,228.0,205.0,230.0,240.0,,240.0,240.0,,260.0,250.0
7,Surf Coast,100.0,92.0,100.0,118.0,95.0,115.0,90.0,100.0,105.0,120.0,110.0,115.0,120.0,135.0,120.0,115.0,115.0,,,130.0,113.0,,153.0,,145.0,153.0,145.0,,,150.0,148.0,160.0,163.0,,170.0,,170.0,175.0,160.0,178.0,165.0,180.0,220.0,200.0,215.0,198.0,195.0,200.0,225.0,230.0,200.0,225.0,,260.0,215.0,220.0,,215.0,250.0,228.0,220.0,240.0,,210.0,,220.0,220.0,,243.0,225.0,,280.0,,250.0,300.0,265.0,265.0,,,,,290.0,,355.0,295.0,295.0,300.0,300.0,300.0,320.0,290.0,,320.0,310.0,320.0,270.0,320.0,350.0,310.0,310.0,360.0,293.0,236.0,375.0,
8,Warrnambool,75.0,75.0,75.0,78.0,70.0,80.0,80.0,80.0,75.0,83.0,85.0,85.0,90.0,90.0,90.0,95.0,90.0,100.0,110.0,98.0,85.0,100.0,110.0,113.0,100.0,75.0,110.0,125.0,120.0,115.0,100.0,120.0,123.0,130.0,110.0,135.0,125.0,130.0,98.0,125.0,120.0,160.0,140.0,170.0,140.0,150.0,160.0,160.0,135.0,155.0,135.0,170.0,155.0,165.0,170.0,140.0,160.0,165.0,200.0,180.0,200.0,170.0,200.0,200.0,170.0,200.0,200.0,173.0,190.0,193.0,200.0,170.0,190.0,195.0,200.0,193.0,185.0,212.0,220.0,215.0,200.0,220.0,200.0,230.0,230.0,230.0,260.0,270.0,190.0,230.0,240.0,250.0,240.0,240.0,250.0,300.0,240.0,300.0,300.0,290.0,315.0,300.0,325.0,386.0,355.0
9,Ararat,,,,,68.0,80.0,75.0,75.0,,,,83.0,,80.0,,,80.0,80.0,,80.0,,,,,,,,90.0,,,,,85.0,,,100.0,,,,,,,,,100.0,,,,,,,124.0,,,,140.0,,,,,,,,,,,,,140.0,,,,,,,,,158.0,,,,,,,,,170.0,,,,,,,,,,,,,,,,,,
